,Date,Time,Number of Jumps,FARS Point Number,Carrier Frequency /MHz,Sideband Frequency /MHz,Total Frequency /MHz,Real freq,Detuning,Mean tau/us,Mean tau/us offset,Mean tau/us corr,Mean tau/us corr offset,tau std. dev./us,tau rel. std. dev./%,Mean loss/ppm,f_rep/Hz,Temperature /C,Yokogawa Pressure Calib /Torr,Calculated Pressure /Torr,New Calculated Pressure /Torr,Yokogawa Pressure Offset /Torr,Yokogawa Pressure Read /Torr,dF / MHz,Actual PZT Voltage,Current /mA,Actual Current
47,3/8/2019,9:38:24 AM,0,5,237152172.4,-5810.6039,237146361.8,237146446.277,2820.577046,38.59053775,38.6097909048,38.6622838464,38.6816086752,0.019768836,0.051227158,64.30894756,220.9903917,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.02281636,3.688190471,180.0848435,165.332081616
48,3/8/2019,9:38:24 AM,0,6,237152172.4,-5609.1348,237146563.3,237146647.747,3022.046835,38.59999357,38.6192561635,38.6717674555,38.6911017683,0.020984387,0.054363707,64.29319383,220.8271787,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.098999232,3.688190471,180.0848435,165.332081616
49,3/8/2019,9:38:24 AM,0,7,237152172.4,-5407.6657,237146764.8,237146849.217,3223.516624,38.6035201,38.6227862142,38.6753043512,38.6946422016,0.019922489,0.051607961,64.28732048,192.530586,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.16165185,3.688190471,180.0848435,165.332081616
50,3/8/2019,9:38:24 AM,0,8,237152172.4,-5206.1966,237146966.2,237147050.686,3424.986413,38.59899966,38.6182612613,38.6707706243,38.6901039401,0.020060434,0.051971383,64.29484936,137.9787725,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.145845562,3.688190471,180.0848435,165.332081616
51,3/8/2019,9:38:24 AM,0,9,237152172.4,-5004.7275,237147167.7,237147252.156,3626.456202,38.59708707,38.616346762,38.6688524131,38.6881838105,0.018535738,0.04802367,64.29803534,163.3879781,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.201449603,3.688190471,180.0848435,165.332081616
52,3/8/2019,9:38:24 AM,0,10,237152172.4,-4803.2584,237147369.2,237147453.626,3827.925991,38.5953554,38.6146133634,38.6671156538,38.6864453144,0.019953024,0.051697993,64.30092021,158.7891662,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.132797569,3.688190471,180.0848435,165.332081616
53,3/8/2019,9:38:24 AM,0,11,237152172.4,-4601.7893,237147570.6,237147655.096,4029.39578,38.59438603,38.6136430258,38.6661434351,38.6854721233,0.021263393,0.055094524,64.30253525,171.1505438,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.073514193,3.688190471,180.0848435,165.332081616
54,3/8/2019,9:38:24 AM,0,12,237152172.4,-4400.3202,237147772.1,237147856.566,4230.865569,38.59457703,38.6138342165,38.6663349964,38.6856638762,0.020816202,0.053935562,64.30221703,212.2072392,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.258214206,3.688190471,180.0848435,165.332081616
55,3/8/2019,9:38:24 AM,0,13,237152172.4,-4198.8511,237147973.6,237148058.035,4432.335358,38.59763101,38.616891245,38.6693979517,38.6887298947,0.020661264,0.053529875,64.29712921,166.8526786,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.013164729,3.688190471,180.0848435,165.332081616
56,3/8/2019,9:38:24 AM,0,14,237152172.4,-3997.382,237148175.0,237148259.505,4633.805147,38.59859843,38.6178596307,38.670368215,38.6897011284,0.02074778,0.053752676,64.29551769,159.8075895,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.02593559,3.688190471,180.0848435,165.332081616
57,3/8/2019,9:38:24 AM,0,15,237152172.4,-3795.9129,237148376.5,237148460.975,4835.274936,38.59684268,38.616102128,38.6686073048,38.6879384571,0.018991852,0.049205714,64.29844247,99.69989997,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.184017718,3.688190471,180.0848435,165.332081616
58,3/8/2019,9:38:24 AM,0,16,237152172.4,-3594.4438,237148578.0,237148662.445,5036.744725,38.58904307,38.608294733,38.6607847744,38.6801081043,0.020809767,0.05392662,64.31143845,90.77109897,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.153369457,3.688190471,180.0848435,165.332081616
59,3/8/2019,9:38:24 AM,0,17,237152172.4,-3392.9747,237148779.5,237148863.915,5238.214514,38.58774615,38.6069965187,38.6594840437,38.6788060729,0.021536916,0.055812838,64.31359994,99.60026649,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.003953457,3.688190471,180.0848435,165.332081616
60,3/8/2019,9:38:24 AM,0,18,237152172.4,-3191.5056,237148980.9,237149065.384,5439.684303,38.58745211,38.6067021852,38.6591891397,38.6785108741,0.019522829,0.050593723,64.31409002,63.3340394,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.030640781,3.688190471,180.0848435,165.332081616
61,3/8/2019,9:38:24 AM,0,19,237152172.4,-2990.0365,237149182.4,237149266.854,5641.154092,38.58968016,38.6089324589,38.6614237364,38.6807477052,0.020184422,0.052305233,64.31037671,63.22689786,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.631523162,3.688190471,180.0848435,165.332081616
62,3/8/2019,9:38:24 AM,0,20,237152172.4,-2788.5674,237149383.9,237149468.324,5842.623881,38.58703435,38.6062840083,38.6587701522,38.6780914677,0.024036556,0.062291794,64.31478631,58.77727541,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.152469158,3.688190471,180.0848435,165.332081616
63,3/8/2019,9:38:24 AM,0,21,237152172.4,-2587.0983,237149585.3,237149669.794,6044.09367,38.57594993,38.5951885279,38.6476531686,38.6669633706,0.019904338,0.051597791,64.33326653,326.0632497,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.892159015,3.688190471,180.0848435,165.332081616
64,3/8/2019,9:38:24 AM,0,22,237152172.4,-2385.6292,237149786.8,237149871.263,6245.563459,38.58897286,38.608224453,38.6607143581,38.6800376175,0.020287419,0.052573099,64.31155546,314.0756303,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.016795456,3.688190471,180.0848435,165.332081616
65,3/8/2019,9:38:24 AM,0,23,237152172.4,-2184.1601,237149988.3,237150072.733,6447.033248,38.58530463,38.6045525622,38.6570353501,38.6763549311,0.019736973,0.051151528,64.31766943,379.9237611,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.051758498,3.688190471,180.0848435,165.332081616
66,3/8/2019,9:38:24 AM,0,24,237152172.4,-1982.691,237150189.7,237150274.203,6648.503037,38.58094991,38.6001934967,38.6526678363,38.671983051,0.021262325,0.055110943,64.32492911,356.3766389,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.027705997,3.688190471,180.0848435,165.332081616
67,3/8/2019,9:38:24 AM,0,25,237152172.4,-1781.2219,237150391.2,237150475.673,6849.972826,38.57762243,38.5968626966,38.6493305814,38.6686424601,0.020328672,0.052695503,64.33047741,379.4416244,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.137245566,3.688190471,180.0848435,165.332081616
68,3/8/2019,9:38:24 AM,0,26,237152172.4,-1579.7528,237150592.7,237150677.143,7051.442615,38.57193816,38.5911727557,38.6436296152,38.6629357957,0.020591087,0.053383593,64.33995767,376.1006289,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.056777388,3.688190471,180.0848435,165.332081616
69,3/8/2019,9:38:24 AM,0,27,237152172.4,-1378.2837,237150794.1,237150878.612,7252.912404,38.57235093,38.5915859374,38.6440435975,38.6633501917,0.020486271,0.053111285,64.33926914,405.1490515,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.261054754,3.688190471,180.0848435,165.332081616
70,3/8/2019,9:38:24 AM,0,28,237152172.4,-1176.8146,237150995.6,237151080.082,7454.382193,38.56378227,38.5830087303,38.6354497734,38.6547477795,0.020208705,0.052403327,64.35356498,357.6555024,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.094788432,3.688190471,180.0848435,165.332081616
71,3/8/2019,9:38:24 AM,0,29,237152172.4,-975.3455,237151197.1,237151281.552,7655.851982,38.55443971,38.5736568534,38.626079783,38.6453684274,0.020731683,0.053772492,64.36915921,421.7207334,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.125013977,3.688190471,180.0848435,165.332081616
72,3/8/2019,9:38:24 AM,0,30,237152172.4,-773.8764,237151398.6,237151483.022,7857.321771,38.54586049,38.5650690798,38.6174753796,38.6367554294,0.019904871,0.05163945,64.38348597,379.9237611,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.183147073,3.688190471,180.0848435,165.332081616
73,3/8/2019,9:38:24 AM,0,31,237152172.4,-572.4073,237151600.0,237151684.492,8058.79156,38.54025642,38.5594594234,38.6118548625,38.6311292991,0.019407163,0.050355562,64.39284787,417.0153417,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.034921706,3.688190471,180.0848435,165.332081616
74,3/8/2019,9:38:24 AM,0,32,237152172.4,-370.9382,237151801.5,237151885.961,8260.261349,38.53930298,38.5585050331,38.6108986246,38.6301721062,0.021041188,0.0545967,64.3944409,416.4345404,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.25901109,3.688190471,180.0848435,165.332081616
75,3/8/2019,9:38:24 AM,0,33,237152172.4,-169.4691,237152003.0,237152087.431,8461.731138,38.53591101,38.5551096823,38.6074967011,38.6267667858,0.021144389,0.054869311,64.40010897,374.6867168,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.278211236,3.688190471,180.0848435,165.332081616
76,3/8/2019,9:38:24 AM,0,34,237152172.4,32.0,237152204.4,237152288.901,8663.200927,38.53397337,38.5531701112,38.6055533756,38.6248215199,0.020180481,0.052370622,64.40334727,433.9622642,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,-0.000452131,3.688190471,180.0848435,165.332081616
77,3/8/2019,9:38:24 AM,0,35,237152172.4,233.4691,237152405.9,237152490.371,8864.670716,38.53317741,38.552373358,38.6047550802,38.6240224274,0.019612969,0.050898915,64.40467761,443.620178,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.012976408,3.688190471,180.0848435,165.332081616
78,3/8/2019,9:38:24 AM,0,36,237152172.4,434.9382,237152607.4,237152691.841,9066.140505,38.53579426,38.5549928159,38.6073796085,38.6266495763,0.019566842,0.05077576,64.40030408,405.6987788,22.91435655,260.0569254,260.097705257,260.102633665,0,260.06,0.103491068,3.688190471,180.0848435,165.332081616
