Spectrum Number,Spectrum Name,Wavenumber (cm-1),Pressure (atm),Temperature (K),alpha10^-6 cm^-1,Model10^-6 cm^-1,Residuals10^-6 cm^-1,QF,Background,CIA (cm-1)
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.336566,0.10948164585526315,296.31544811,1.968001393,1.968585853955151,-0.0005844609551510782,1642.0,1.9680946111821602,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.34334,0.10948164585526315,296.31544811,1.970190249,1.9705806656586906,-0.0003904166586905511,1642.0,1.9701033836956898,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.350114,0.10948164585526315,296.31544811,1.968296725,1.9680495004466232,0.0002472245533768902,1642.0,1.9675853272443424,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.356887,0.10948164585526315,296.31544811,1.968238421,1.9687997899918133,-0.0005613689918133602,1642.0,1.9683479316455683,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.363661,0.10948164585526315,296.31544811,1.969227289,1.969548270105121,-0.00032098110512102096,1642.0,1.9691079904237745,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.370435,0.10948164585526315,296.31544811,1.966636502,1.967321499555857,-0.0006849975558569366,1642.0,1.9668921093934084,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.377208,0.10948164585526315,296.31544811,1.968714357,1.969310967211767,-0.0005966102117669347,1642.0,1.9688918202777963,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.383982,0.10948164585526315,296.31544811,1.967512019,1.9667012090051685,0.0008108099948314074,1642.0,1.9662917022398902,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.390756,0.10948164585526315,296.31544811,1.967612362,1.9676398417088579,-2.7479708857969243e-05,1642.0,1.9672394070117885,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.397529,0.10948164585526315,296.31544811,1.968382835,1.968224331031014,0.00015850396898620112,1642.0,1.9678324322658167,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.404303,0.10948164585526315,296.31544811,1.965373578,1.966113666560068,-0.0007400885600681306,1642.0,1.9657298002731791,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.411077,0.10948164585526315,296.31544811,1.967530903,1.9680989325220863,-0.000568029522086233,1642.0,1.9677226213729153,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.41785,0.10948164585526315,296.31544811,1.965844835,1.9654341850036803,0.0004106499963196786,1642.0,1.9650649755197822,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.424624,0.10948164585526315,296.31544811,1.966491214,1.966567978540865,-7.676454086502638e-05,1642.0,1.9662054418903685,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.431398,0.10948164585526315,296.31544811,1.966973564,1.966997779309468,-2.421530946805639e-05,1642.0,1.9666415059403457,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.438171,0.10948164585526315,296.31544811,1.964585553,1.9650250761760644,-0.000439523176064327,1642.0,1.9646746739891747,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.444945,0.10948164585526315,296.31544811,1.967002471,1.9670067196774335,-4.2486774334271615e-06,1642.0,1.9666618146024735,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.451719,0.10948164585526315,296.31544811,1.965178978,1.9643099350770175,0.0008690429229825103,1642.0,1.9639701664770686,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.458492,0.10948164585526315,296.31544811,1.966079993,1.9656448382843603,0.0004351547156395963,1642.0,1.9653098571642282,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.465266,0.10948164585526315,296.31544811,1.966257464,1.9659293957126347,0.0003280682873652019,1642.0,1.96559886465566,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.47204,0.10948164585526315,296.31544811,1.963757202,1.9641139767230946,-0.00035677472309458835,1642.0,1.963787565430972,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.478813,0.10948164585526315,296.31544811,1.966111797,1.9657424974931283,0.00036929950687158986,1642.0,1.965419880072685,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.485587,0.10948164585526315,296.31544811,1.964525967,1.9638907393831921,0.0006352276168077875,1642.0,1.9635715923620813,0.0
2,spectrum_CO2_Air_1%Ar_83Torr_02_formatted_R16e,6360.492361,0.10948164585526315,296.31544811,1.965517995,1.9654098564994298,0.00010813850057012075,1642.0,1.9650938519829715,0.0
