 21 6355.548687 7.307E-29 3.463E-08.07870.107   42.92250.68-.004133       3 3 3 01       0 0 0 01                    R 10e     566663342910 9 711    23.0   21.0,17659286,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=0;J=11;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=10;r=1;parity=+;kronigParity=e,#,0.0,0.07892,0.0073,-0.004133,#,#,0.0
 22 6355.551324 1.270E-30 1.345E-05.06630.077 1456.46300.74-.009020       0 4 4 21       0 1 1 01                    P 45e     366563223010 9 711   178.0  182.0,18540279,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=2;J=44;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=45;r=1;parity=-;kronigParity=e,#,0.0,0.06682,0.00514,-0.00902,#,#,0.0
 21 6355.556658 1.564E-27 1.893E-02.07970.108 2111.99170.68-.004695       4 1 1 12       1 1 1 01                    R  9e     566663342910 9 711    21.0   19.0,17659287,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=10;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=9;r=1;parity=-;kronigParity=e,#,0.0,0.07986,0.00736,-0.004695,#,#,0.0
 22 6355.562245 6.490E-30 2.255E-05.06730.082 1197.40950.75-.006453       5 0 0 01       0 1 1 01                    R 37e     366663243110 9 711   154.0  150.0,18540280,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=0;J=38;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=37;r=1;parity=-;kronigParity=e,#,-0.005814,0.06765,0.00524,-0.006453,#,#,-0.005814
 21 6355.564180 1.183E-30 1.135E-02.08490.116 3352.34150.69-.004577       3 5 5 12       0 5 5 01                    Q  5e     466663342910 9 711    11.0   11.0,17659288,ElecStateLabel=X;v1=3;v2=5;l2=5;v3=1;J=5;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=5;l2=5;v3=0;J=5;r=1;parity=-;kronigParity=e,#,0.0,0.08508,0.00749,-0.004577,#,#,0.0
 22 6355.584192 1.670E-28 2.072E-03.06620.076 1493.71250.74-.007879       3 1 1 11       0 1 1 01                    P 46f     366563243110 9 711   182.0  186.0,18540281,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=45;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=46;r=1;parity=-;kronigParity=f,#,0.0,0.06666,0.00513,-0.007879,#,#,0.0
 22 6355.588800 3.910E-30 5.012E-06.06990.091  923.06460.73-.007613       1 2 2 22       0 1 1 01                    R 26f     366663243110 9 711   110.0  106.0,18540282,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=27;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=26;r=1;parity=-;kronigParity=f,#,-0.025768,0.06988,0.00582,-0.007613,#,#,-0.025768
 21 6355.588979 4.008E-27 1.310E-05.06660.079  704.30050.75-.006623       4 1 1 01       0 0 0 01                    P 42e     466563342910 9 711    83.0   85.0,17659289,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=0;J=41;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=42;r=1;parity=+;kronigParity=e,#,0.00627,0.0673,0.00516,-0.006623,#,#,0.00627
 21 6355.592286 7.729E-27 9.433E-05.07700.105  728.41230.68-.005559       3 1 1 12       0 1 1 01                    Q 12f     666663342910 9 711    25.0   25.0,17659290,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=12;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=12;r=1;parity=-;kronigParity=f,#,-0.069187,0.07802,0.00723,-0.005559,#,#,-0.069187
 21 6355.613161 2.824E-28 4.978E-03.08490.116 2015.01730.69-.005417       3 3 3 12       0 3 3 01                    P  5e     466663342910 9 711     9.0   11.0,17659291,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=4;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=5;r=1;parity=-;kronigParity=e,#,-0.0176,0.08543,0.00749,-0.005417,#,#,-0.0176
 22 6355.614428 9.560E-29 5.009E-03.06930.090 1686.43370.73-.007009       4 0 0 11       1 0 0 01                    P 28e     366663243110 9 711   110.0  114.0,18540283,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=27;r=1;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=28;r=1;parity=+;kronigParity=e,#,0.006502,0.06994,0.00575,-0.007009,#,#,0.006502
 22 6355.630246 3.800E-30 1.667E-03.07310.099 2030.59080.70-.006493       4 1 1 12       1 1 1 02                    P 18f     366663243110 9 711    70.0   74.0,18540284,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=17;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=18;r=2;parity=-;kronigParity=f,#,0.0,0.07404,0.00667,-0.006493,#,#,0.0
 21 6355.690946 5.256E-27 6.065E-05.07480.102  761.12550.69-.005855       3 1 1 12       0 1 1 01                    Q 15e     666663342910 9 711    31.0   31.0,17659292,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=15;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=15;r=1;parity=-;kronigParity=e,#,0.0,0.07561,0.00697,-0.005855,#,#,0.0
 21 6355.721914 7.933E-29 5.303E-05.06830.087 1748.57800.74-.007135       3 2 2 12       0 2 2 01                    Q 32e     566663342910 9 711    65.0   65.0,17659293,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=32;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=32;r=1;parity=+;kronigParity=e,#,0.013919,0.0687,0.00549,-0.007135,#,#,0.013919
 21 6355.726233 7.631E-30 5.830E-05.07480.102 2097.40880.69-.006661       2 2 2 23       0 3 3 01                    Q 15e     466663342910 9 711    31.0   31.0,17659294,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=15;r=3;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=15;r=1;parity=-;kronigParity=e,#,0.0,0.07561,0.00697,-0.006661,#,#,0.0
 21 6355.748262 3.293E-30 7.677E-05.06770.084 2497.42030.74-.007329       3 3 3 12       0 3 3 01                    Q 35e     466663342910 9 711    71.0   71.0,17659295,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=35;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=35;r=1;parity=-;kronigParity=e,#,0.015075,0.06815,0.00534,-0.007329,#,#,0.015075
 21 6355.759707 8.363E-29 3.067E-02.07220.096 2961.17370.71-.006063       5 0 0 12       2 0 0 01                    R 20e     466663342910 9 711    43.0   41.0,17659296,ElecStateLabel=X;v1=5;v2=0;l2=0;v3=1;J=21;r=2;kronigParity=e,ElecStateLabel=X;v1=2;v2=0;l2=0;v3=0;J=20;r=1;parity=+;kronigParity=e,#,-0.004959,0.07206,0.00637,-0.006063,#,#,-0.004959
 21 6355.799351 1.005E-26 1.338E-04.07870.108  710.41630.68-.005332       3 1 1 12       0 1 1 01                    Q 10f     666663342910 9 711    21.0   21.0,17659297,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=10;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=10;r=1;parity=-;kronigParity=f,#,0.0,0.07986,0.00736,-0.005332,#,#,0.0
 22 6355.811270 3.560E-30 4.054E-06.07060.093  883.17570.72-.006494       2 3 3 11       0 1 1 01                    R 24f     366663243110 9 711   102.0   98.0,18540285,ElecStateLabel=X;v1=2;v2=3;l2=3;v3=1;J=25;r=1;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=24;r=1;parity=-;kronigParity=f,#,0.0,0.07049,0.00599,-0.006494,#,#,0.0
 21 6355.820577 4.795E-26 1.800E-02.07700.104 1449.05090.68-.005134       4 0 0 12       1 0 0 01                    R 12e     566663342910 9 711    27.0   25.0,17659298,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=13;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=12;r=1;parity=+;kronigParity=e,#,0.001359,0.07717,0.00715,-0.005134,#,#,0.001359
 21 6355.823559 2.258E-30 3.175E-02.07020.092 3754.37430.73-.006545       5 1 1 12       2 1 1 01                    R 25e     466663342910 9 711    53.0   51.0,17659299,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=1;J=26;r=2;kronigParity=e,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=0;J=25;r=1;parity=-;kronigParity=e,#,0.0,0.07017,0.00591,-0.006545,#,#,0.0
 21 6355.836671 6.759E-27 8.021E-05.07620.104  738.47170.68-.005663       3 1 1 12       0 1 1 01                    Q 13e     666663342910 9 711    27.0   27.0,17659300,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=13;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=13;r=1;parity=-;kronigParity=e,#,-0.020901,0.07717,0.00715,-0.005663,#,#,-0.020901
 21 6355.909998 7.736E-30 5.966E-05.07550.103 2085.63930.68-.006554       2 2 2 23       0 3 3 01                    Q 14f     466663342910 9 711    29.0   29.0,17659301,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=14;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=14;r=1;parity=-;kronigParity=f,#,0.0,0.07636,0.00706,-0.006554,#,#,0.0
 21 6355.911530 9.259E-29 5.655E-05.06850.088 1723.52920.74-.007069       3 2 2 12       0 2 2 01                    Q 31f     566663342910 9 711    63.0   63.0,17659302,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=31;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=31;r=1;parity=+;kronigParity=f,#,0.014512,0.0689,0.00554,-0.007069,#,#,0.014512
 21 6355.938777 1.548E-23 7.335E-03.07870.107   42.92250.68-.004850       3 0 0 12       0 0 0 01                    R 10e     986663344510 9 711    23.0   21.0,17659303,ElecStateLabel=X;v1=3;v2=0;l2=0;v3=1;J=11;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=10;r=1;parity=+;kronigParity=e,#,0.003693,0.07892,0.0073,-0.004896,#,#,0.003693
 21 6355.962401 8.749E-27 1.109E-04.07780.107  718.94190.68-.005449       3 1 1 12       0 1 1 01                    Q 11e     666663342910 9 711    23.0   23.0,17659304,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=11;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=11;r=1;parity=-;kronigParity=e,#,0.0,0.07892,0.0073,-0.005449,#,#,0.0
 21 6355.968376 3.895E-30 8.177E-05.06790.085 2469.97800.74-.007265       3 3 3 12       0 3 3 01                    Q 34f     466663342910 9 711    69.0   69.0,17659305,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=34;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=34;r=1;parity=-;kronigParity=f,#,0.018244,0.06832,0.00538,-0.007265,#,#,0.018244
 21 6355.970458 1.336E-26 2.044E-04.08080.111  695.54960.68-.005070       3 1 1 12       0 1 1 01                    Q  8f     666663342910 9 711    17.0   17.0,17659306,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=8;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=8;r=1;parity=-;kronigParity=f,#,0.0,0.08184,0.00745,-0.00507,#,#,0.0
 21 6356.045736 1.196E-28 6.055E-05.06830.086 1697.58250.74-.006155       5 1 1 02       1 0 0 02                    R 32e     466663342910 9 711    67.0   65.0,17659307,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=0;J=33;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=32;r=2;parity=+;kronigParity=e,#,-0.005465,0.06851,0.00543,-0.006155,#,#,-0.005465
 21 6356.068089 1.150E-26 1.629E-04.07970.109  702.53630.68-.005206       3 1 1 12       0 1 1 01                    Q  9e     666663342910 9 711    19.0   19.0,17659308,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=9;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=9;r=1;parity=-;kronigParity=e,#,0.012096,0.08083,0.00741,-0.005206,#,#,0.012096
 21 6356.078560 7.757E-30 6.092E-05.07620.104 2074.65430.68-.006442       2 2 2 23       0 3 3 01                    Q 13e     466663342910 9 711    27.0   27.0,17659309,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=13;r=3;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=13;r=1;parity=-;kronigParity=e,#,0.0,0.07717,0.00715,-0.006442,#,#,0.0
 21 6356.099841 7.063E-27 6.106E-03.08660.118 1342.96480.69-.005249       3 2 2 12       0 2 2 01                    P  4e     566663342910 9 711     7.0    9.0,17659310,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=3;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=4;r=1;parity=+;kronigParity=e,#,-0.017322,0.08668,0.00747,-0.005249,#,#,-0.017322
 21 6356.105577 1.855E-26 3.506E-04.08340.114  683.81240.68-.004758       3 1 1 12       0 1 1 01                    Q  6f     666663342910 9 711    13.0   13.0,17659311,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=6;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=6;r=1;parity=-;kronigParity=f,#,0.0,0.08395,0.00749,-0.004758,#,#,0.0
 21 6356.143878 1.077E-28 6.038E-05.06880.088 1699.26250.74-.007003       3 2 2 12       0 2 2 01                    Q 30e     566663342910 9 711    61.0   61.0,17659312,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=30;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=30;r=1;parity=+;kronigParity=e,#,0.009125,0.06912,0.00561,-0.007003,#,#,0.009125
 21 6356.146577 6.023E-29 1.844E-02.07780.105 2812.40680.68-.004996       4 2 2 12       1 2 2 01                    R 11f     466663342910 9 711    25.0   23.0,17659313,ElecStateLabel=X;v1=4;v2=2;l2=2;v3=1;J=12;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=0;J=11;r=1;parity=+;kronigParity=f,#,0.0,0.07802,0.00723,-0.004996,#,#,0.0
 21 6356.148223 2.160E-30 6.254E-06.06640.077 2110.09010.74-.007737       4 0 0 12       0 2 2 01                    P 44e     566563342910 9 711    87.0   89.0,17659314,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=43;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=44;r=1;parity=+;kronigParity=e,#,0.0,0.06698,0.00514,-0.007737,#,#,0.0
 21 6356.153696 1.559E-26 2.622E-04.08200.112  689.25530.68-.004922       3 1 1 12       0 1 1 01                    Q  7e     666663342910 9 711    15.0   15.0,17659315,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=7;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=7;r=1;parity=-;kronigParity=e,#,0.0,0.08288,0.00748,-0.004922,#,#,0.0
 21 6356.170532 2.329E-30 1.832E-02.07550.102 3524.57450.69-.005392       4 3 3 12       1 3 3 01                    R 14f     466663342910 9 711    31.0   29.0,17659316,ElecStateLabel=X;v1=4;v2=3;l2=3;v3=1;J=15;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=3;l2=3;v3=0;J=14;r=1;parity=-;kronigParity=f,#,0.0,0.07561,0.00697,-0.005392,#,#,0.0
 21 6356.178370 4.615E-30 8.766E-05.06810.086 2443.31820.74-.007200       3 3 3 12       0 3 3 01                    Q 33e     466663342910 9 711    67.0   67.0,17659317,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=33;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=33;r=1;parity=-;kronigParity=e,#,0.023353,0.06851,0.00543,-0.0072,#,#,0.023353
 21 6356.204683 2.812E-26 7.362E-04.08660.118  675.20500.69-.004375       3 1 1 12       0 1 1 01                    Q  4f     666663342910 9 711     9.0    9.0,17659318,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=4;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=4;r=1;parity=-;kronigParity=f,#,0.0,0.08636,0.00747,-0.004375,#,#,0.0
 23 6356.212792 1.554E-30 1.839E-04.07620.104 1326.41870.68-.006192       4 0 0 12       1 0 0 02                    P 13e     366663243210 9 711    25.0   27.0,18540286,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=12;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=13;r=2;parity=-;kronigParity=e,#,0.0,0.07758,0.00715,-0.006192,#,#,0.0
 21 6356.219191 2.245E-26 4.901E-04.08490.116  679.09900.69-.004577       3 1 1 12       0 1 1 01                    Q  5e     666663342910 9 711    11.0   11.0,17659319,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=5;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=5;r=1;parity=-;kronigParity=e,#,0.0,0.08508,0.00749,-0.004577,#,#,0.0
 21 6356.237845 7.698E-30 6.214E-05.07700.105 2064.45370.68-.006324       2 2 2 23       0 3 3 01                    Q 12f     466663342910 9 711    25.0   25.0,17659320,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=12;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=12;r=1;parity=-;kronigParity=f,#,0.0,0.07802,0.00723,-0.006324,#,#,0.0
 21 6356.251252 2.326E-30 3.494E-02.06990.091 3775.60330.73-.006636       5 1 1 12       2 1 1 01                    R 26f     466663342910 9 711    55.0   53.0,17659321,ElecStateLabel=X;v1=5;v2=1;l2=1;v3=1;J=27;r=2;kronigParity=f,ElecStateLabel=X;v1=2;v2=1;l2=1;v3=0;J=26;r=1;parity=-;kronigParity=f,#,0.0,0.06988,0.00582,-0.006636,#,#,0.0
 22 6356.255494 1.600E-29 9.988E-04.06750.083 1786.24750.74-.007458       4 0 0 12       1 0 0 02                    R 36e     366663243110 9 711   150.0  146.0,18540287,ElecStateLabel=X;v1=4;v2=0;l2=0;v3=1;J=37;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=0;l2=0;v3=0;J=36;r=2;parity=+;kronigParity=e,#,-0.011925,0.06781,0.00527,-0.007458,#,#,-0.011925
 21 6356.264548 3.700E-26 1.227E-03.08850.120  672.06760.70-.004146       3 1 1 12       0 1 1 01                    Q  3e     666663342910 9 711     7.0    7.0,17659322,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=3;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=3;r=1;parity=-;kronigParity=e,#,0.0,0.088,0.00744,-0.004146,#,#,0.0
 21 6356.267759 5.349E-26 2.455E-03.09050.123  669.72740.69-.003886       3 1 1 12       0 1 1 01                    Q  2f     666663342910 9 711     5.0    5.0,17659323,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=2;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=2;r=1;parity=-;kronigParity=f,#,0.0,0.09054,0.00738,-0.003886,#,#,0.0
 21 6356.289752 9.700E-26 7.362E-03.09500.127  668.16120.69-.003589       3 1 1 12       0 1 1 01                    Q  1e     666663342910 9 711     3.0    3.0,17659324,ElecStateLabel=X;v1=3;v2=1;l2=1;v3=1;J=1;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=1;r=1;parity=-;kronigParity=e,#,0.0,0.09551,0.00731,-0.003589,#,#,0.0
 21 6356.326222 1.250E-28 6.464E-05.06900.089 1675.77720.73-.006935       3 2 2 12       0 2 2 01                    Q 29f     566663342910 9 711    59.0   59.0,17659325,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=29;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=29;r=1;parity=+;kronigParity=f,#,0.012994,0.06936,0.00567,-0.006935,#,#,0.012994
 21 6356.381068 1.657E-27 1.904E-02.07870.107 2119.90110.68-.004850       4 1 1 12       1 1 1 01                    R 10f     566663342910 9 711    23.0   21.0,17659326,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=11;r=2;kronigParity=f,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=10;r=1;parity=-;kronigParity=f,#,0.0,0.07892,0.0073,-0.00485,#,#,0.0
 21 6356.383354 7.540E-30 6.320E-05.07780.107 2055.03760.68-.006199       2 2 2 23       0 3 3 01                    Q 11e     466663342910 9 711    23.0   23.0,17659327,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=11;r=3;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=11;r=1;parity=-;kronigParity=e,#,0.0,0.07892,0.0073,-0.006199,#,#,0.0
 21 6356.385266 5.430E-30 9.375E-05.06830.087 2417.44150.74-.007135       3 3 3 12       0 3 3 01                    Q 32f     466663342910 9 711    65.0   65.0,17659328,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=32;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=32;r=1;parity=-;kronigParity=f,#,0.031713,0.0687,0.00549,-0.007135,#,#,0.031713
 21 6356.420868 1.576E-28 3.506E-03.08660.118 2011.09350.69-.005249       3 3 3 12       0 3 3 01                    P  4f     466663342910 9 711     7.0    9.0,17659329,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=3;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=4;r=1;parity=-;kronigParity=f,#,-0.027569,0.08668,0.00747,-0.005249,#,#,-0.027569
 22 6356.452056 3.830E-30 1.661E-03.07370.100 2016.15850.70-.006437       4 1 1 12       1 1 1 02                    P 17e     366663243110 9 711    66.0   70.0,18540288,ElecStateLabel=X;v1=4;v2=1;l2=1;v3=1;J=16;r=2;kronigParity=e,ElecStateLabel=X;v1=1;v2=1;l2=1;v3=0;J=17;r=2;parity=-;kronigParity=e,#,0.0,0.07465,0.00678,-0.006437,#,#,0.0
 21 6356.518288 7.280E-30 6.409E-05.07870.108 2046.40600.68-.006065       2 2 2 23       0 3 3 01                    Q 10f     466663342910 9 711    21.0   21.0,17659330,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=10;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=10;r=1;parity=-;kronigParity=f,#,0.0,0.07986,0.00736,-0.006065,#,#,0.0
 21 6356.539517 1.446E-28 6.932E-05.06930.090 1653.07420.73-.006867       3 2 2 12       0 2 2 01                    Q 28e     566663342910 9 711    57.0   57.0,17659331,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=28;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=28;r=1;parity=+;kronigParity=e,#,0.014892,0.06961,0.00575,-0.006867,#,#,0.014892
 21 6356.582856 6.393E-30 1.008E-04.06850.088 2392.34760.74-.007069       3 3 3 12       0 3 3 01                    Q 31e     466663342910 9 711    63.0   63.0,17659332,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=31;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=31;r=1;parity=-;kronigParity=e,#,0.026844,0.0689,0.00554,-0.007069,#,#,0.026844
 22 6356.602437 3.360E-30 4.596E-06.06960.090  943.70260.73-.007712       1 2 2 22       0 1 1 01                    R 27e     366663243110 9 711   114.0  110.0,18540289,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=28;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=27;r=1;parity=-;kronigParity=e,#,0.0,0.06961,0.00575,-0.007712,#,#,0.0
 22 6356.614838 3.530E-30 5.200E-06.06930.089  966.07880.73-.007809       1 2 2 22       0 1 1 01                    R 28f     366663243110 9 711   118.0  114.0,18540290,ElecStateLabel=X;v1=1;v2=2;l2=2;v3=2;J=29;r=2;kronigParity=f,ElecStateLabel=X;v1=0;v2=1;l2=1;v3=0;J=28;r=1;parity=-;kronigParity=f,#,0.0,0.06936,0.00567,-0.007809,#,#,0.0
 21 6356.640291 6.905E-30 6.467E-05.07970.109 2038.55900.68-.005922       2 2 2 23       0 3 3 01                    Q  9e     466663342910 9 711    19.0   19.0,17659333,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=9;r=3;kronigParity=f,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=9;r=1;parity=-;kronigParity=e,#,0.0,0.08083,0.00741,-0.005922,#,#,0.0
 22 6356.710867 2.680E-29 9.973E-06.06640.077  772.14730.74-.008076       2 2 2 11       0 0 0 01                    R 44e     366563243110 9 711   182.0  178.0,18540291,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=1;J=45;r=1;kronigParity=e,ElecStateLabel=X;v1=0;v2=0;l2=0;v3=0;J=44;r=1;parity=+;kronigParity=e,#,0.0,0.06654,0.00514,-0.008076,#,#,0.0
 21 6356.713392 1.669E-28 7.454E-05.06960.091 1631.15270.73-.006797       3 2 2 12       0 2 2 01                    Q 27f     566663342910 9 711    55.0   55.0,17659334,ElecStateLabel=X;v1=3;v2=2;l2=2;v3=1;J=27;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=2;l2=2;v3=0;J=27;r=1;parity=+;kronigParity=f,#,0.013354,0.06988,0.00582,-0.006797,#,#,0.013354
 21 6356.750896 6.412E-30 6.486E-05.08080.111 2031.49660.68-.005768       2 2 2 23       0 3 3 01                    Q  8f     466663342910 9 711    17.0   17.0,17659335,ElecStateLabel=X;v1=2;v2=2;l2=2;v3=2;J=8;r=3;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=8;r=1;parity=-;kronigParity=f,#,0.0,0.08184,0.00745,-0.005768,#,#,0.0
 21 6356.776557 7.484E-30 1.083E-04.06880.088 2368.03680.74-.007003       3 3 3 12       0 3 3 01                    Q 30f     466663342910 9 711    61.0   61.0,17659336,ElecStateLabel=X;v1=3;v2=3;l2=3;v3=1;J=30;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=3;l2=3;v3=0;J=30;r=1;parity=-;kronigParity=f,#,0.029614,0.06912,0.00561,-0.007003,#,#,0.029614
 21 6356.789588 1.105E-30 2.897E-04.07020.093 2927.15780.72-.006656       3 4 4 12       0 4 4 01                    Q 25f     466663342910 9 711    51.0   51.0,17659337,ElecStateLabel=X;v1=3;v2=4;l2=4;v3=1;J=25;r=2;kronigParity=e,ElecStateLabel=X;v1=0;v2=4;l2=4;v3=0;J=25;r=1;parity=+;kronigParity=f,#,0.0,0.07049,0.00599,-0.006656,#,#,0.0
