,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air,y_air_err,y_air_vary,n_y_air
100,7,3,837.3536,13030.27048,0,False,0.00026,0,False,1e-24,0.0389,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
101,7,2,880.7923,13030.70317,0,False,0.001,0,False,1e-24,0.0375,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
102,7,1,793.21,13031.39,0,False,0.805,0,False,1e-24,0.04,0,False,0.57,-0.010337,0,False,3.1e-05,0,0,False,1,0.18,0,False,0.57,0,0,False,0,0,0,False,0.001455,0,False,3.481353001
103,7,3,835.552,13032.07215,0,False,0.000249,0,False,1e-24,0.0389,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
104,7,1,791.4,13033.2,0,False,0.7670000000000001,0,False,1e-24,0.04,0,False,0.69,-0.010116,0,False,4.9e-05,0,0,False,1,0.13,0,False,0.69,0,0,False,0,0,0,False,0.001368,0,False,5.229704566
105,7,1,188.8531,13033.2948,0,False,1.9700000000000005e-05,0,False,1e-24,0.0478,0,False,0.73,-0.0075,0,False,0.0,0,0,False,1,0.085541577,0,False,0.73,0,0,False,0,0,0,False,0.0,0,False,1.0
106,7,1,791.0331,13033.56974,0,False,1.0600000000000002e-05,0,False,1e-24,0.0376,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.117223643,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
107,7,2,814.9672,13033.7191,0,False,0.0014,0,False,1e-24,0.0389,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
108,7,3,770.6298,13035.12704,0,False,0.000345,0,False,1e-24,0.0399,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
109,7,2,813.1611,13035.52517,0,False,0.00134,0,False,1e-24,0.0389,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
110,7,3,768.8195,13036.93736,0,False,0.00033,0,False,1e-24,0.0399,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.115323868,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
111,7,2,750.0289,13038.44447,0,False,0.00184,0,False,1e-24,0.0399,0,False,0.63,-0.0089,0,False,0.0,0,0,False,1,0.113492229,0,False,0.63,0,0,False,0,0,0,False,0.0,0,False,1.0
